1,2,3,4,5,6,7,8,9,10
24,29,28,27,29,23,23,22,17,36
20,23,19,27,20,17,24,20,24,28
19,32,20,26,23,20,30,17,24,19
31,23,28,26,37,28,30,21,28,22
28,22,28,29,19,25,24,18,21,22
23,21,23,19,21,25,13,28,25,33
21,25,23,26,25,36,22,19,21,29
23,22,26,20,22,31,25,27,22,25
36,24,23,29,25,25,27,24,28,25
25,26,35,22,20,31,23,23,22,30
26,28,31,22,35,31,27,25,28,20
20,27,30,29,33,21,25,23,18,16
23,22,19,31,14,31,33,19,23,31
32,27,21,28,27,29,32,36,33,28
22,33,32,29,32,24,25,29,23,25
24,30,27,24,21,24,25,27,19,14
24,24,20,15,33,26,30,27,36,29
25,31,22,22,19,27,26,16,19,25
29,27,21,28,22,28,33,18,29,25
20,32,33,35,33,30,28,30,26,25
